camera,frame,prediction,consumers,latency
1,289,None,352,16.7664289474,
2,398,None,352,19.005065918,
2,519,None,352,4.04851102829,
2,3626,None,352,109.294395924,
2,15,None,352,57.3174099922,
2,323,None,352,27.5208189487,
2,349,None,352,24.5828230381,
1,2696,None,352,114.745949984,
2,91,None,352,49.7851340771,
2,37,None,352,56.0466370583,
2,287,None,352,31.0880498886,
2,3601,None,352,113.360090017,
2,413,None,352,17.5614709854,
1,349,None,352,10.6254239082,
2,128,None,352,47.9469630718,
1,103,None,352,45.0093719959,
2,521,None,352,5.29451489449,
1,114,None,352,44.4285469055,
2,307,None,352,30.5831239223,
1,414,None,352,2.71364188194,
1,206,None,352,32.4027969837,
1,356,None,352,11.4180679321,
1,412,None,352,3.68164491653,
1,373,None,352,10.8995609283,
1,389,None,352,9.4534239769,
2,556,None,352,4.69207692146,
2,562,None,352,3.823168993,
1,402,None,352,8.47158694267,
1,434,None,352,2.65306711197,
1,451,None,352,1.25763106346,
2,628,Unknown,352,1.34717488289,
1,507,None,352,1.47255206108,
2,668,None,352,1.06672310829,
2,673,None,352,0.380557060242,
2,713,None,352,1.52169489861,
2,742,None,352,0.4122569561,
1,657,None,352,0.852929115295,
2,924,None,352,0.615546941757,
1,726,None,352,1.2923719883,
2,933,None,352,0.714371919632,
2,942,None,352,0.651976108551,
1,770,None,352,1.27101397514,
1,792,None,352,0.965280056,
2,1020,None,352,0.554400920868,
2,1050,None,352,0.873224020004,
2,1092,None,352,0.999535083771,
2,1105,None,352,1.13334989548,
1,928,None,352,0.43927693367,
2,1200,None,352,1.19925189018,
2,1225,None,352,1.31217098236,
2,1278,None,352,0.40331697464,
1,1034,None,352,0.94766998291,
2,1305,None,352,0.578229904175,
1,1076,None,352,0.750622034073,
2,1412,None,352,0.910393953323,
1,1213,None,352,1.08205199242,
2,1512,None,352,1.60416603088,
1,1219,None,352,1.22658801079,
1,1232,None,352,0.840101957321,
1,1237,None,352,1.45783495903,
2,1551,None,352,0.503971099854,
2,1568,None,352,0.608702898026,
2,1596,None,352,0.799298048019,
1,1321,None,352,0.947458982468,
2,1681,None,352,0.636970996857,
2,1718,None,352,1.25805211067,
1,1451,None,352,0.810395002365,
2,1802,None,352,0.441229104996,
2,1805,None,352,0.931216955185,
2,1812,None,352,0.559592962265,
2,1859,None,352,1.17709589005,
1,1556,None,352,0.424916028976,
2,1935,None,352,1.03556704521,
1,1603,None,352,0.680938959122,
2,1996,None,352,0.428107976913,
2,2005,None,352,0.355026960373,
1,1633,None,352,0.966049909592,
2,2088,None,352,1.10582399368,
1,1753,None,352,0.298373937607,
1,1755,None,352,0.550978899002,
1,1778,None,352,0.76106595993,
1,1802,None,352,1.03096389771,
1,1823,None,352,0.795923948288,
2,2243,Unknown,352,0.547317028046,
1,1843,None,352,0.72075009346,
1,1853,None,352,1.32144999504,
2,2281,None,352,0.836894989014,
2,2313,Unknown,352,0.531672954559,
2,2322,Unknown,352,0.677587985992,
1,1903,None,352,0.884243965149,
2,2346,None,352,1.4813170433,
1,1920,None,352,0.592427015305,
2,2382,None,352,1.2872569561,
2,2427,None,352,1.46746110916,
2,2438,Unknown,352,0.97846198082,
2,2477,Unknown,352,1.25836896896,
2,2519,None,352,0.880561113358,
1,2057,None,352,0.480247020721,
1,2091,None,352,1.13375401497,
1,2103,None,352,0.732032060623,
2,2593,None,352,0.368746042252,
1,2132,None,352,0.709959983826,
2,2633,None,352,0.70493888855,
2,2654,None,352,1.06859707832,
1,2216,None,352,0.536839008331,
2,2747,None,352,0.669006109238,
2,2757,None,352,0.834322929382,
2,2819,None,352,0.964106082916,
1,2302,None,352,0.524821043015,
1,2332,None,352,0.636239051819,
2,2883,None,352,0.980314016342,
2,2893,None,352,1.12378191948,
2,2914,None,352,0.779990911484,
2,2962,Unknown,352,1.4330201149,
2,2981,None,352,1.53282594681,
1,2434,None,352,1.07121706009,
2,2997,None,352,1.34223294258,
2,3010,None,352,0.508677959442,
1,2460,None,352,1.14180111885,
1,2467,None,352,1.24115610123,
1,2493,None,352,0.860100984573,
1,2525,None,352,1.04338598251,
1,2548,None,352,1.03539705276,
2,3142,None,352,1.18261003494,
1,2567,None,352,0.777771949768,
2,3281,None,352,0.958175897598,
2,3295,None,352,0.55167889595,
1,2696,None,352,1.22510695457,
1,2754,None,352,0.869405984879,
2,3441,None,352,1.49750494957,
2,3456,None,352,1.10826802254,
1,2854,None,352,0.777192115784,
2,3528,None,352,0.397941112518,
2,3601,None,352,0.919723987579,
2,3626,None,352,1.03001499176,
2,3650,None,352,0.568478107452,
1,2987,None,352,1.16086888313,
1,2992,None,352,0.838490962982,
1,3013,None,352,0.951206922531,
1,3033,None,352,0.645987987518,
2,3716,Unknown,352,1.35718488693,
2,3719,Unknown,352,0.951325893402,
1,3072,None,352,1.00325107574,
1,3108,None,352,1.12195491791,
2,3874,None,352,1.26450991631,
1,3168,None,352,0.496541976929,
2,3885,None,352,1.1915640831,
1,3182,None,352,0.41189789772,
1,3188,None,352,1.62366509438,
1,3193,None,352,1.03109192848,
2,3917,None,352,0.696527004242,
1,3216,None,352,1.10939192772,
1,3229,None,352,1.21130800247,
2,3959,None,352,0.813945055008,
2,3967,None,352,1.21908688545,
1,3241,None,352,0.57403588295,
2,4019,None,352,1.17909002304,
1,3281,None,352,1.88407111168,
2,4038,None,352,0.332822084427,
2,4089,None,352,1.46207690239,
2,4104,None,352,1.0678460598,
1,3428,None,352,1.22127509117,
1,3432,None,352,0.394262075424,
2,4206,Aquaman,352,1.37462306023,
2,4235,Aquaman,352,0.872181892395,
1,3474,None,352,0.977224111557,
1,3498,None,352,1.14615297318,
2,4291,Unknown,352,1.32340288162,
2,4329,Aquaman,352,0.624974966049,
1,3551,None,352,0.914179086685,
1,3593,None,352,1.03924393654,
2,4430,None,352,1.16108608246,
1,3626,None,352,1.2810959816,
1,3639,None,352,0.873933076859,
1,3707,None,352,1.01872897148,
1,3734,None,352,0.946207046509,
2,4571,None,352,1.54411411285,
2,4607,None,352,0.666320085526,
1,3773,None,352,1.16482400894,
1,3777,None,352,0.759202003479,
1,3783,None,352,0.916085958481,
2,4664,None,352,0.691692113876,
1,3830,None,352,0.452609062195,
1,3849,None,352,1.55952095985,
1,3872,None,352,0.459800004959,
2,4746,None,352,0.865611076355,
1,3878,None,352,1.26041603088,
1,3907,None,352,0.87663602829,
2,4804,None,352,0.478075027466,
2,4861,None,352,1.15351295471,
1,3973,None,352,0.760627985001,
2,4896,None,352,1.37461209297,
1,4025,None,352,1.50700092316,
1,4039,None,352,1.07858800888,
2,4950,None,352,0.280955076218,
2,4952,None,352,0.868361949921,
1,4054,None,352,1.07258701324,
1,4105,None,352,1.18252110481,
1,4106,None,352,0.776694059372,
1,4113,None,352,1.36049294472,
1,4117,None,352,0.785188913345,
2,5119,None,352,0.463897943497,
2,5124,None,352,1.12551999092,
1,4190,None,352,0.999819040298,
2,5143,None,352,1.60951089859,
2,5167,None,352,1.24301099777,
2,5193,None,352,0.955261945724,
1,4243,None,352,1.57691907883,
1,4292,None,352,1.11091709137,
1,4309,None,352,0.665378093719,
2,5279,None,352,0.834939956665,
2,5280,None,352,1.43736505508,
2,5366,None,352,0.599827051163,
1,4419,None,352,0.739289045334,
2,5502,None,352,0.891079902649,
2,5541,None,352,1.03200101852,
2,5568,None,352,1.2070980072,
2,5570,None,352,0.818500995636,
2,5575,None,352,1.41797709465,
1,4554,None,352,1.02213811874,
1,4591,None,352,1.6522090435,
1,4598,None,352,1.24697709084,
2,5667,None,352,0.357831954956,
2,5671,None,352,0.965836048126,
1,4645,None,352,1.06868696213,
2,5760,None,352,0.710329055786,
1,4717,None,352,0.813800096512,
1,4752,None,352,0.937294960022,
1,4772,None,352,1.04503011703,
2,5926,None,352,0.781388998032,
1,4876,None,352,0.914047956467,
1,4886,None,352,1.02383089066,
1,4888,None,352,0.461766004562,
1,4890,None,352,1.19834399223,
1,4934,None,352,0.75415802002,
2,6061,None,352,1.33910703659,
2,6089,None,352,0.95214009285,
1,4996,None,352,1.14049601555,
1,5038,None,352,1.01383304596,
1,5139,None,352,1.19341111183,
1,5172,None,352,0.889549970627,
1,5174,None,352,1.50745892525,
1,5187,None,352,0.634252071381,
1,5204,None,352,1.2607460022,
2,6392,None,352,1.22659492493,
2,6465,None,352,0.418032884598,
2,6488,None,352,1.05935406685,
1,5289,None,352,1.60967111588,
2,6492,Unknown,352,0.984004974365,
1,5325,None,352,1.59721708298,
2,6536,None,352,1.31014704704,
1,5338,None,352,0.998837947845,
2,6561,None,352,0.604266881943,
1,5374,None,352,1.21903395653,
1,5392,None,352,0.405316114426,
2,6672,None,352,1.03720402718,
2,6690,None,352,1.15707707405,
1,5474,None,352,1.27103805542,
2,6766,None,352,0.972753047943,
1,5574,None,352,0.317982912064,
1,5582,None,352,0.481018066406,
2,6872,None,352,0.555394887924,
1,5603,None,352,0.681026935577,
1,5614,None,352,0.846080064774,
2,6894,None,352,1.16541004181,
2,6897,None,352,0.797708034515,
1,5650,None,352,1.05092597008,
2,6941,None,352,1.75169110298,
1,5668,None,352,0.880224943161,
2,6971,Unknown,352,1.03232002258,
2,6979,None,352,0.608630895615,
2,7006,None,352,0.660413980484,
2,7009,None,352,1.25193405151,
2,7039,None,352,1.3732419014,
1,5743,None,352,1.02137708664,
2,7065,None,352,1.62828302383,
2,7081,None,352,1.13228607178,
