camera,frame,consumers
1,444,352,
1,422,352,
1,432,352,
1,336,352,
1,62,352,
1,62,352,
1,86,352,
1,136,352,
1,136,352,
1,180,352,
1,26,352,
1,108,352,
1,108,352,
1,328,352,
1,59,352,
1,59,352,
1,59,352,
1,244,352,
1,291,352,
1,157,352,
1,455,352,
1,57,352,
1,57,352,
1,57,352,
1,360,352,
1,147,352,
1,147,352,
1,225,352,
1,260,352,
1,116,352,
1,278,352,
1,409,352,
1,109,352,
1,109,352,
1,175,352,
1,222,352,
1,430,352,
1,281,352,
1,263,352,
1,116,352,
1,221,352,
1,283,352,
1,75,352,
1,104,352,
1,75,352,
1,433,352,
1,442,352,
1,167,352,
1,428,352,
1,150,352,
1,427,352,
1,99,352,
1,156,352,
1,11,352,
1,200,352,
1,219,352,
1,219,352,
1,370,352,
1,434,352,
1,451,352,
1,137,352,
1,137,352,
1,253,352,
1,99,352,
1,335,352,
1,423,352,
1,66,352,
1,66,352,
1,66,352,
1,246,352,
1,32,352,
1,32,352,
1,32,352,
1,368,352,
1,441,352,
1,280,352,
1,252,352,
1,100,352,
1,100,352,
1,135,352,
1,311,352,
1,146,352,
1,135,352,
1,60,352,
1,185,352,
1,317,352,
1,70,352,
1,70,352,
1,96,352,
1,171,352,
1,204,352,
1,72,352,
1,122,352,
1,72,352,
1,237,352,
1,60,352,
1,88,352,
1,21,352,
1,443,352,
1,271,352,
1,8,352,
1,8,352,
1,83,352,
1,103,352,
1,111,352,
1,130,352,
1,111,352,
1,435,352,
1,448,352,
1,248,352,
1,103,352,
1,206,352,
1,437,352,
1,456,352,
1,249,352,
1,458,352,
1,52,352,
1,52,352,
1,125,352,
1,265,352,
1,431,352,
1,34,352,
1,34,352,
1,34,352,
1,292,352,
1,256,352,
1,367,352,
1,134,352,
1,141,352,
1,134,352,
1,169,352,
1,299,352,
1,344,352,
1,37,352,
1,37,352,
1,37,352,
1,35,352,
1,35,352,
1,35,352,
1,276,352,
1,85,352,
1,217,352,
1,392,352,
1,229,352,
1,332,352,
1,10,352,
1,10,352,
1,10,352,
1,30,352,
1,201,352,
1,40,352,
1,40,352,
1,242,352,
1,388,352,
1,44,352,
1,44,352,
1,44,352,
1,338,352,
1,30,352,
1,30,352,
1,40,352,
1,27,352,
1,27,352,
1,94,352,
1,110,352,
1,269,352,
1,381,352,
1,393,352,
1,182,352,
1,365,352,
1,384,352,
1,371,352,
1,420,352,
1,303,352,
1,191,352,
1,426,352,
1,143,352,
1,143,352,
1,18,352,
1,18,352,
1,258,352,
1,250,352,
1,268,352,
1,231,352,
1,366,352,
1,4,352,
1,18,352,
1,148,352,
1,148,352,
1,445,352,
1,20,352,
1,20,352,
1,20,352,
1,211,352,
1,159,352,
1,333,352,
1,405,352,
1,39,352,
1,4,352,
1,348,352,
1,385,352,
1,71,352,
1,71,352,
1,71,352,
1,45,352,
1,45,352,
1,45,352,
1,163,352,
1,174,352,
1,330,352,
1,84,352,
1,123,352,
1,84,352,
1,316,352,
1,350,352,
1,73,352,
1,73,352,
1,107,352,
1,107,352,
1,259,352,
1,351,352,
1,436,352,
1,98,352,
1,98,352,
1,190,352,
1,54,352,
1,54,352,
1,54,352,
1,41,352,
1,42,352,
1,131,352,
1,131,352,
1,170,352,
1,151,352,
1,440,352,
1,128,352,
1,0,352,
1,0,352,
1,0,352,
1,55,352,
1,375,352,
1,446,352,
1,128,352,
1,203,352,
1,7,352,
1,7,352,
1,140,352,
1,15,352,
1,15,352,
1,74,352,
1,61,352,
1,61,352,
1,124,352,
1,124,352,
1,168,352,
1,112,352,
1,112,352,
1,49,352,
1,49,352,
1,49,352,
1,331,352,
1,277,352,
1,162,352,
1,95,352,
1,6,352,
1,6,352,
1,81,352,
1,87,352,
1,87,352,
1,406,352,
1,5,352,
1,5,352,
1,5,352,
1,95,352,
1,154,352,
1,63,352,
1,63,352,
1,63,352,
1,165,352,
1,320,352,
1,321,352,
